conductor_id;nombre;anno_incorporacion;antiguedad_anos;turno_habitual;depot_id;formacion;licencia_tipo;activo;ausencias_2024
1;Carlos Garcia;2009;15;Partido;3;Basica;D;VERDADERO;14
2;Maria Lopez;2013;11;Noche (22-06h);1;Basica;D;VERDADERO;9
3;Juan Martinez;2008;16;Manana (06-14h);2;Completa;D+E;VERDADERO;6
4;Ana Fernandez;2007;17;manana;1;Basica + Articulado;D;VERDADERO;1
5;Pedro Sanchez;2016;8;Partido;3;Basica + Articulado;D;VERDADERO;10
6;Laura Gonzalez;2005;19;Partido;2;Basica;D+E;VERDADERO;11
7;Miguel Rodriguez;2019;5;Tarde (14-22h);2;Basica + Electrico;D+E;VERDADERO;15
8;Isabel Perez;2019;5;Partido;3;Basica + Articulado;D+E;VERDADERO;7
9;David Jimenez;2007;17;Noche (22-06h);2;Basica + Electrico;D+E;VERDADERO;12
10;Carmen Ruiz;2015;0;Manana (06-14h);2;Basica + Articulado;D;VERDADERO;15
11;Antonio Moreno;2011;13;Noche (22-06h);2;Basica + Articulado;D+E;VERDADERO;8
12;Lucia Alvarez;2022;2;Manana (06-14h);3;Basica + Electrico;D;VERDADERO;7
13;Francisco Torres;2018;6;Partido;3;Basica + Electrico;D+E;VERDADERO;15
14;Sara Romero;2019;5;Manana (06-14h);1;Basica + Articulado;D;VERDADERO;12
15;Jose Diaz;2012;12;Noche (22-06h);3;Basica + Articulado;D+E;VERDADERO;11
16;Marta Hernandez;2018;6;Noche (22-06h);2;Completa;D+E;VERDADERO;9
17;Manuel Vazquez;2013;11;Tarde (14-22h);1;Basica + Electrico;D+E;VERDADERO;3
18;Cristina Morales;2022;2;Tarde (14-22h);1;Basica + Electrico;D+E;VERDADERO;8
19;Jorge Alonso;2023;1;Noche (22-06h);1;Basica + Electrico;D+E;VERDADERO;7
20;Elena Guerrero;2016;8;Tarde (14-22h);2;Basica;D;VERDADERO;8
21;Alejandro Castro;2006;18;Manana (06-14h);3;Basica + Articulado;D;VERDADERO;15
22;Beatriz Ortega;2008;16;Manana (06-14h);3;Basica + Articulado;D+E;VERDADERO;15
23;Raul Ramos;2019;5;Noche (22-06h);1;Basica;D+E;VERDADERO;15
24;Patricia Serrano;2008;16;Manana (06-14h);2;Completa;D;VERDADERO;1
25;Roberto Molina;2009;15;Tarde (14-22h);3;Basica + Articulado;D;VERDADERO;7
26;Nuria Medina;2008;16;Partido;3;Basica + Electrico;D+E;VERDADERO;14
27;Victor Blanco;2019;5;Noche (22-06h);3;Completa;D+E;VERDADERO;1
28;Silvia Delgado;2008;16;Tarde (14-22h);3;Basica + Electrico;D+E;VERDADERO;2
29;Eduardo Nunez;2010;14;Tarde (14-22h);1;Basica;D;FALSO;0
30;Pilar Dominguez;2018;6;Partido;3;Completa;D+E;FALSO;1
